"site","record_type","year","month","day","running_day_of_project","julian_day","pH_air_eqll","anc_ueq_L","spec_conductance_us_cm","apparent_color_pcu","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","Cl_ueq_L","NO3_ueq_L","SO4_ueq_L","Si_mg_L","NH4_ueq_L","Al_ppb","volume_mL","vol_converted_to_depth_mm","belfort_gage_depth_mm","comment","campbell_depth_in","total_P_ppb","total_N_ppm"
"AEREA","REG",1991,11,12,2142,316,5.03,-12.9,6.5,2,1,2.5,0.3,6.1,11,4.1,8,0,1.7,0.07,1131.4,16.67,17.78,,,,
"AERSU","REG",1991,11,12,2142,316,5.23,-8.7,4,7,1,0.8,0.3,1.3,5,1.5,3,0,1.1,0.07,941.1,13.86,16.002,,,,
"AERCA","REG",1991,11,19,2149,323,4.08,-105.2,48.2,7,3.5,2.5,0.8,8.3,17,64.3,61,0,39.3,0.59,416.2,6.13,6.858,,,,
"AEREA","REG",1991,11,19,2149,323,4.06,-110.7,50.6,7,4.5,2.5,0.8,9.1,18,67.2,63,0,39.3,0.67,460.2,6.78,7.366,,,,
"AERSU","REG",1991,11,19,2149,323,4.1,-99.6,45.8,7,2.5,1.6,0.8,7,15,61.3,58,0,39.3,0.48,372.1,5.48,6.096,,,,
"AERCA","REG",1991,11,26,2156,330,4.86,-20.6,7.6,2,0.5,0,0.3,1.3,2,6.9,11,0.36,2.2,0.19,1939.4,28.57,28.702,,,,
"AEREA","REG",1991,11,26,2156,330,4.85,-19.7,7.6,2,1.5,0,0.3,0.9,1,6.3,11,0,1.1,0.15,1805.5,26.59,25.654,,,,
"AERSU","REG",1991,11,26,2156,330,4.94,-17.3,6.8,2,1.5,0,0.3,0.4,2,5.5,10,0,2.2,0.22,1651.2,24.32,26.162,,,,
"AERCA","REG",1991,12,5,2165,339,4.88,-17.1,8.8,7,3.5,2.5,1.5,12.2,14,7,10,0,2.8,0.15,1428.6,21.04,21.59,,,,
"AEREA","REG",1991,12,5,2165,339,4.89,-17.6,8.2,9,2,2.5,0.3,10,12,7.3,9,0,2.8,0.11,1250.1,18.41,19.558,,,,
"AERSU","REG",1991,12,5,2165,339,5.08,-11.2,5.5,13,2.5,0.8,0.5,2.2,6,4.3,5,0,0.6,0.15,1275,18.78,17.018,,,,
"AERCA","REG",1991,12,10,2170,344,4.28,-70,31.2,11,5,3.3,1.5,13.5,18,49.5,31,0,12.2,0.33,473,6.97,10.668,,,,
"AEREA","REG",1991,12,10,2170,344,4.25,-75.1,33.9,8,5,4.1,1,17,21,53,34,0,13.9,0.26,453.6,6.68,11.43,,,,
"AERSU","REG",1991,12,10,2170,344,4.44,,,6,4.5,1.6,1.8,9.6,17,30.3,14,0,6.1,0.33,105.1,1.55,3.81,,,,
"AERCA","REG",1991,12,17,2177,351,4.33,-59.6,27.6,3,3.5,4.9,1.3,19.6,19,32.7,35,0.36,8.9,0.07,423.6,6.24,12.7,,,,
"AEREA","REG",1991,12,17,2177,351,4.31,-60.6,28.1,3,2.5,4.1,1.8,18.7,18,32.5,34,0,10.5,0.15,420.5,6.19,10.414,,,,
"AERSU","REG",1991,12,17,2177,351,4.39,-51.2,23,2,2,2.5,0.8,12.2,13,25.8,29,0.36,7.8,0.07,360.3,5.31,8.636,,,,
"AERCA","REG",1991,12,24,2184,358,4.62,-32.4,14.6,4,2,2.5,0.8,10,11,26.9,10,0.36,3.9,0.07,759,11.18,11.938,,,,
"AEREA","REG",1991,12,24,2184,358,4.65,-29.9,14.9,4,2.5,3.3,0.5,13.9,14,26.4,10,0.36,4.4,0.11,672,9.9,13.97,,,,
"AERSU","REG",1991,12,24,2184,358,4.71,-26.1,14.3,4,2.5,3.3,1,16.1,17,20.7,15,0,7.2,0.11,226,3.33,8.382,,,,
"AERCA","REG",1991,12,31,2191,365,,,,,4,1.6,3.8,9.1,16,32.3,16,2.49,7.8,1.07,94.2,1.39,1.27,,,,
"AEREA","REG",1991,12,31,2191,365,,,,,5.5,1.6,2.6,10,21,36.3,16,1.42,18.3,0.96,81.1,1.19,1.778,,,,
"AERSU","REG",1991,12,31,2191,365,,,,,4,1.6,3.8,10.4,17,25.5,21,1.78,9.4,0.63,50.8,0.75,0,,,,
"AERCA","REG",1992,1,7,2198,7,5.35,-6.4,3.7,3,1,0,0.5,3.5,6,1.1,6,0,0,0.04,4188.7,61.7,65.786,,,,
"AEREA","REG",1992,1,7,2198,7,,,,,,,,,,,,,,,3778.7,55.66,58.42,,,,
"AERSU","REG",1992,1,7,2198,7,5.35,-8.6,4,4,1.5,0,0.5,3,4,1.4,5,0,0,0.07,3573.7,52.64,52.578,,,,
"AERCA","REG",1992,1,14,2205,14,4.44,-47.7,20.7,8,2,2.5,1.3,9.6,11,24.8,26,1.78,9.4,0.15,556.4,8.2,22.352,,,,
"AEREA","REG",1992,1,14,2205,14,4.45,-45,18.6,6,2,1.6,1,7,10,23.5,18,0.36,5.5,0.11,579.8,8.54,10.16,,,,
"AERSU","REG",1992,1,14,2205,14,4.39,-52.2,21.2,7,2,0.8,1.8,7.8,12,23,23,1.07,16.1,0.44,200.7,2.96,4.826,,,,
"AERCA","REG",1992,1,21,2212,21,4.82,-21.9,10.4,7,2.5,1.6,2,7,7,7.8,14,0,3.9,0.07,1235.5,18.2,22.098,,,,
"AEREA","REG",1992,1,21,2212,21,4.85,-19.7,9.3,4,2.5,1.6,1.5,7,8,6.7,13,0.36,5.5,0.04,1078.7,15.89,18.796,,,,
"AERSU","REG",1992,1,21,2212,21,4.84,-20.6,9.2,4,2,0.8,1.3,5.2,6,6.7,13,1.07,5,0,1031.5,15.19,18.034,,,,
"AERCA","REG",1992,1,28,2219,28,4.8,-20.4,17.3,4,4,13.2,2,58.7,67,4.2,23,0,3.9,0.07,2669,39.31,45.72,,,,
"AEREA","REG",1992,1,28,2219,28,4.81,-18.3,17.2,2,4,14,2,60,67,3.7,21,0.71,3.3,0.07,2791,41.11,43.434,,,,
"AERSU","REG",1992,1,28,2219,28,4.79,-19.5,14.5,2,2.5,9.9,1.3,41.8,47,3.4,18,1.07,3.3,0.11,1565,23.05,27.432,,,,
"AERCA","REG",1992,2,4,2226,35,3.84,-172.3,78.9,17,6,7.4,5.4,40.9,45,83.6,135,0,57.6,1,358,5.27,16.51,,,,
"AEREA","REG",1992,2,4,2226,35,3.9,-151.6,71.5,18,5.5,9.9,3.1,40,47,72.5,123,0,55.4,0.56,316.2,4.66,12.7,,,,
"AERSU","REG",1992,2,4,2226,35,3.88,,80.4,,9,5.8,9.2,36.5,52,67.6,161,0,84.2,1.04,167.3,2.46,14.732,,,,
"AERCA","REG",1992,2,11,2233,42,4.71,-23.4,10.1,4,1.5,3.3,0.5,5.2,8,17.6,5,3.2,2.2,0.04,815.3,12.01,17.78,,,,
"AEREA","REG",1992,2,11,2233,42,4.81,-18.1,8.1,2,1.5,0.8,0.5,3.9,7,13.2,4,3.2,1.7,0,796.3,11.73,17.272,,,,
"AERSU","REG",1992,2,11,2233,42,4.82,-17.5,8.6,7,2,2.5,0.8,6.1,10,13.2,6,2.85,3.9,0.07,373.3,5.5,18.796,,,,
"AERCA","REG",1992,2,18,2240,49,4.8,-19.2,8.9,2,1,1.6,0.5,5.2,6,10.2,12,0,4.4,0.11,2196.9,32.36,14.224,,,,
"AEREA","REG",1992,2,18,2240,49,4.89,-16.6,8,2,1,0.8,0.8,4.8,6,8.6,9,0,3.3,0.19,1761.4,25.94,29.21,,,,
"AERSU","REG",1992,2,18,2240,49,4.97,-10.8,6.6,1,1,0.8,0.5,3.9,6,4.4,8,0,8.9,0.15,1386.8,20.43,24.638,,,,
"AERCA","REG",1992,2,25,2247,56,4.66,-24.6,12.4,2,4,2.5,0.3,7.8,11,6.5,15,0,2.8,0.11,289.9,4.27,3.048,,,,
"AEREA","REG",1992,2,25,2247,56,4.7,-21.3,12.2,,2.5,2.5,0.5,9.1,14,7.3,14,0,2.8,0.22,252.2,3.71,8.89,,,,
"AERSU","REG",1992,2,25,2247,56,4.71,-19.7,12.6,,3.5,2.5,0.5,7,12,6.7,13,0,7.8,0.26,180.2,2.65,6.096,,,,
"AERCA","REG",1992,3,3,2254,63,4.47,-41.9,20.3,5,2,4.1,0.5,15.7,19,23.2,24,0,6.1,0.22,1850.9,27.26,36.83,,,,
"AEREA","REG",1992,3,3,2254,63,4.46,-42,20.3,5,3,3.3,0.5,13.9,19,23.3,23,0,6.6,0.22,1776.9,26.17,28.702,,,,
"AERSU","REG",1992,3,3,2254,63,4.6,-30.4,13.3,3,1,1.6,0.3,5.7,8,15.6,15,0,3.3,0.15,1223.8,18.03,35.56,,,,
"AERCA","REG",1992,3,10,2261,70,4.6,-33,16,6,2.5,4.1,0.8,15.7,20,8.7,25,0.36,5.5,0,1526,22.48,22.606,,,,
"AEREA","REG",1992,3,10,2261,70,4.56,-34,17.2,5,2.5,4.1,1,17.4,23,8.6,26,0,6.6,0,1632.1,24.04,23.368,,,,
"AERSU","REG",1992,3,10,2261,70,4.54,-35.2,17.4,7,3.5,3.3,1.5,16.1,20,9.2,28,0.36,8.9,0.07,1097,16.16,17.78,,,,
"AERCA","REG",1992,3,17,2268,77,4.5,-40.3,24.8,1,6,12.3,1.3,50.9,58,13.6,36,0,7.2,0.19,879.2,12.95,16.256,,,,
"AEREA","REG",1992,3,17,2268,77,4.48,-40.8,27.7,1,6.5,13.2,2,54.8,62,13.7,45,0,15,0.22,822,12.11,12.7,,,,
"AERSU","REG",1992,3,17,2268,77,4.46,-47,25.9,2,6,11.5,1.8,47.4,53,12.6,35,0,8.9,0.22,720.3,10.61,11.938,,,,
"AERCA","REG",1992,3,31,2282,91,4.9,-15.5,21.1,12,8,20.6,2,82.7,96,6.3,26,0,3.3,0.19,2295.1,33.81,30.48,,,,
"AEREA","REG",1992,3,31,2282,91,4.92,-13.2,22.2,3,7,20.6,1.8,86.1,101,6.5,27,0,3.3,0.19,2043.8,30.1,34.29,,,,
"AERSU","REG",1992,3,31,2282,91,4.88,-14.8,21,2,7,19.7,1.8,79.6,93,5.5,25,0,2.2,0.22,1953.6,28.78,30.988,,,,
"AERCA","REG",1992,4,7,2289,98,4.7,-25.8,12.8,3,1.5,0.8,0.5,2.6,4,11.9,21,1.42,7.8,0.15,2089.8,30.78,34.29,,,,
"AEREA","REG",1992,4,7,2289,98,4.72,-29.2,13.7,2,1.5,0.8,0.3,2.6,4,13,21,0,7.2,0.19,1966.5,28.97,31.75,,,,
"AERSU","REG",1992,4,7,2289,98,4.66,-24.7,11.7,5,1,0.8,0,1.3,3,10.2,19,0,7.2,0.19,1705.3,25.12,64.77,,,,
"AERCA","REG",1992,4,14,2296,105,4.81,-17.3,9.4,3,3,1.6,0.8,3,5,12.2,13,0,7.2,0,1237.6,18.23,21.59,,,,
"AEREA","REG",1992,4,14,2296,105,4.9,-13.8,9.4,7,3.5,2.5,4.6,2.6,4,13,13,0,8.3,0,1151.7,16.96,19.05,,,,
"AERSU","REG",1992,4,14,2296,105,4.92,-14,7.9,5,1.5,0.8,0.3,1.7,3,8.3,12,0,5.5,0,1199.7,17.67,18.796,,,,
"AERCA","REG",1992,4,21,2303,112,4.64,-28.9,15.1,,4.5,1.6,1,5.2,14,10.8,22,0,8.9,0.67,265.2,3.91,6.35,,,,
"AEREA","REG",1992,4,21,2303,112,4.59,-28.8,17.4,,6,2.5,0.8,6.1,25,12.5,29,0,19.4,0.96,182.6,2.69,4.064,,,,
"AERSU","REG",1992,4,21,2303,112,4.66,-26.5,14.7,,5.5,1.6,1,4.8,12,10.5,23,0,9.4,0.52,233.1,3.43,4.318,,,,
"AERCA","REG",1992,4,28,2310,119,4.41,-49.7,22,2,3,1.6,1,3.5,10,20.6,29,0.36,6.1,0.52,1433.6,21.12,25.908,,,,
"AEREA","REG",1992,4,28,2310,119,4.4,-49.4,21.8,3,3,2.5,2.3,3.9,11,21.9,31,0,6.6,1.04,1214.4,17.89,24.13,,,,
"AERSU","REG",1992,4,28,2310,119,4.36,-53.6,23.3,0,3,1.6,2.8,3.9,9,23,30,0,6.6,0.15,966.6,14.24,24.638,,,,
"AERCA","REG",1992,5,5,2317,126,3.85,-163.8,73.3,12,7,3.3,0.8,3,17,77.2,142,0,64.3,1.63,484.3,7.13,8.128,,,,
"AEREA","REG",1992,5,5,2317,126,3.83,-169.3,74.9,15,5.5,2.5,0.8,1.7,10,78.7,141,0,65.9,0.74,462.3,6.81,7.874,,,,
"AERSU","REG",1992,5,5,2317,126,3.87,-151.6,69.5,13,6,1.6,0.5,2.6,10,75.6,128,0,60.4,0.78,385.7,5.68,7.112,,,,
"AERCA","REG",1992,5,12,2324,133,4.96,-9.4,7.3,4,1.5,0.8,0,2.2,6,2.6,16,0,8.3,0,471.9,6.95,6.604,,,,
"AEREA","REG",1992,5,12,2324,133,4.96,-9.2,8.2,3,1.5,0.8,0.5,2.6,8,2.4,22,0,14.4,0.15,455.5,6.71,6.604,,,,
"AERSU","REG",1992,5,12,2324,133,4.9,-10.1,8,3,2,1.6,0.5,2.2,10,2.2,16,0.36,8.3,0.15,386.8,5.7,6.35,,,,
"AERCA","REG",1992,5,26,2338,147,4.47,-43.8,17.3,16,3,0.8,1.3,1.3,5,9.1,37,1.78,12.7,0,444.2,6.54,5.588,,,,
"AEREA","REG",1992,5,26,2338,147,4.47,-42.1,16.9,14,3,0.8,1.8,0.9,4,8.7,36,1.78,12.2,0,440.5,6.49,7.112,,,,
"AERSU","REG",1992,5,26,2338,147,4.46,-41.5,16.5,18,3,0.8,1.5,1.3,4,8.2,35,2.13,12.2,0,444.4,6.55,6.604,,,,
"AERCA","REG",1992,6,2,2345,154,4.5,-35.4,16.3,,4.5,2.5,4.1,6.1,10,15.4,25,0,5,2.18,185,2.72,1.27,,,,
"AEREA","REG",1992,6,2,2345,154,4.52,-32.2,17.9,,5.5,2.5,5.9,5.7,17,15.3,24,0,7.8,0.3,138.6,2.04,1.016,,,,
"AERSU","REG",1992,6,2,2345,154,4.51,-33.4,17.3,,5.5,2.5,2,4.4,10,13.8,26,0,9.4,0.33,159.5,2.35,3.302,,,,
"AERCA","REG",1992,6,9,2352,161,5.04,-8.5,6.8,1,1.5,3.3,0.3,12.6,15,2.9,8,0,0,0,2552.3,37.59,38.1,,,,
"AEREA","REG",1992,6,9,2352,161,5.04,-6.5,6.7,4,1.5,3.3,1,13.1,15,2.9,9,0,0,0,2576.4,37.95,36.83,,,,
"AERSU","REG",1992,6,9,2352,161,5.13,-6,5.4,1,1,2.5,0.8,9.6,12,2.5,8,0,0,0,2309.4,34.02,34.544,,,,
"AERCA","REG",1992,6,16,2359,168,,,48.6,,20.5,8.2,2.6,6.1,13,49.2,103,0,55.4,0.11,89.2,1.31,2.032,,,,
"AEREA","REG",1992,6,16,2359,168,,,51.7,,18,6.6,1,5.2,10,52.9,115,0,62.6,0.22,164.6,2.42,1.016,,,,
"AERSU","REG",1992,6,16,2359,168,,,43.8,,17,6.6,1.3,4.4,7,48.6,96,0,49.3,0.19,133,1.96,1.524,,,,
"AERCA","REG",1992,6,23,2366,175,4.68,-22.1,10.9,0,1,0,0.5,1.3,2,7.9,14,0,4.4,0,3977.2,58.58,58.42,,,,
"AEREA","REG",1992,6,23,2366,175,4.63,-24,11.2,0,0.5,0,0.3,0.9,3,9.1,15,0,5,0,4121.4,60.71,64.77,,,,
"AERSU","REG",1992,6,23,2366,175,4.7,-20.9,9.7,0,1,0,0.5,0.9,2,7.1,12,0,4.4,0,3904.1,57.51,56.388,,,,
"AERCA","REG",1992,6,30,2373,182,4.36,-47.1,22.7,7,1.5,0.8,0.8,1.7,4,14.2,43,0,11.6,0,2783.8,41,34.29,,,,
"AEREA","REG",1992,6,30,2373,182,4.33,-50.1,23.9,8,1.5,0.8,0,1.7,4,15.1,45,0,11.6,0,2641.9,38.91,39.37,,,,
"AERSU","REG",1992,6,30,2373,182,4.38,-45.5,21.3,7,1,0,0.5,1.7,4,13.1,40,0,10.5,0.11,2615.1,38.52,39.878,,,,
"AERCA","REG",1992,7,7,2380,189,4.15,-82.8,36.9,5,3,0.8,0.8,1.7,5,31.4,61,0,19.4,0.37,1607.9,23.68,24.13,,,,
"AEREA","REG",1992,7,7,2380,189,4.14,-83.9,37.5,6,3,0,1,1.7,4,31.8,62,0,19.4,0.26,1626.9,23.96,24.384,,,,
"AERSU","REG",1992,7,7,2380,189,4.15,-81.9,36.4,8,3,0.8,1.3,1.3,4,31.5,60,0,19.4,0.63,1498.8,22.08,22.606,,,,
"AERCA","REG",1992,7,14,2387,196,4.24,-69.1,29.9,4,1.5,0,0,1.3,3,26,48,0.36,12.7,0.04,1740.2,25.63,23.876,,,,
"AEREA","REG",1992,7,14,2387,196,4.21,-71.4,31.2,3,2,0.8,0.3,1.7,5,27.6,50,0,14.4,0,1837.5,27.07,26.416,,,,
"AERSU","REG",1992,7,14,2387,196,4.26,-63.6,28.1,4,1.5,0.8,0.5,1.3,3,24.3,43,0,11.1,0,1348.5,19.86,21.336,,,,
"AERCA","REG",1992,7,21,2394,203,4.57,-34.3,16,4,1.5,0.8,0.3,2.2,4,12.4,24,0.36,3.9,0,1297.5,19.11,15.24,,,,
"AEREA","REG",1992,7,21,2394,203,4.57,-32.5,15.7,3,2,0.8,0,3,5,12.3,24,0,4.4,0,1304.3,19.21,19.05,,,,
"AERSU","REG",1992,7,21,2394,203,4.59,-32.4,15,3,1.5,0.8,0.3,1.3,3,11.3,23,0,3.3,0,1073.6,15.81,13.208,,,,
"AERCA","REG",1992,7,28,2401,210,3.6,,115,5,2.5,1.6,1,6.1,13,70.5,201,0,24.4,0.41,170,2.5,0.508,,,,
"AEREA","REG",1992,7,28,2401,210,3.54,,124,3,2.5,2.5,1,9.6,16,80.7,229,,,0.56,146.6,2.16,1.016,,,,
"AERSU","REG",1992,7,28,2401,210,3.79,,131,6,3,1.6,0.3,2.2,11,44.4,124,0,18.3,1.85,140.5,2.07,2.032,,,,
"AERCA","REG",1992,8,4,2408,217,4.33,-50.4,23.3,4,1.5,0.8,0.3,1.7,5,14.7,42,0,8.9,0.07,2441.3,35.96,34.29,,,,
"AEREA","REG",1992,8,4,2408,217,4.31,-50.8,24.1,4,1.5,0.8,0,1.3,4,15.1,42,0,9.4,1.63,2422.9,35.69,34.29,,,,
"AERSU","REG",1992,8,4,2408,217,4.35,-45.6,21.9,4,2,0.8,0.3,1.3,2,13.6,39,0,8.3,0.04,2248,33.11,32.766,,,,
"AERCA","REG",1992,8,11,2415,224,,,,,,,,,28,33.8,57,1.78,7.8,,53.7,0.79,0.508,,,,
"AEREA","REG",1992,8,11,2415,224,,,,,,,,,12,40.6,54,0,10.5,,44.1,0.65,0.254,,,,
"AERSU","REG",1992,8,11,2415,224,,,,,,,,,19,30.4,48,0.71,9.4,,31.2,0.46,0,,,,
"AERCA","REG",1992,8,19,2423,232,5.02,-6.6,5.6,2,0.5,0,0.3,0.9,2,4,9,0,3.3,0,4418.4,65.08,71.12,,,,
"AEREA","REG",1992,8,19,2423,232,5.04,-6.4,6.8,2,1,0,0,0.4,1,4,8,0,3.3,0.04,3958.5,58.31,62.484,,,,
"AERSU","REG",1992,8,19,2423,232,5.03,-5.4,5,1,1,0,0,0.4,1,3.6,8,0,2.8,0,4063.5,59.85,55.372,,,,
"AERCA","REG",1992,9,1,2436,245,3.75,-189,89,9,7.5,11.5,2.8,47.8,53,57.4,160,0,32.1,0.85,207.7,3.06,2.286,,,,
"AEREA","REG",1992,9,1,2436,245,3.78,-177,84,8,8,12.3,2.3,49.6,53,52.2,151,0,29.4,1.37,210.3,3.1,2.032,,,,
"AERCA","REG",1992,9,8,2443,252,5.12,-5.4,4.3,1,1.5,0,0.3,1.7,2,3.5,5,0,1.1,0.22,997.4,14.69,16.256,,,,
"AEREA","REG",1992,9,8,2443,252,5.11,-5.9,4.3,0,1,0,0,1.7,2,3.3,4,0,0.6,0.15,932.7,13.74,14.224,,,,
"AERSU","REG",1992,9,8,2443,252,5.08,-7,4.5,0,2,0,0,1.7,3,3.4,5,0,1.1,0.3,949.7,13.99,13.97,,,,
"AERCA","REG",1992,9,15,2450,259,3.95,,56,7,8,7.4,2,26.1,34,46.7,82,0.36,11.1,1.04,145.1,2.14,3.048,,,,
"AEREA","REG",1992,9,15,2450,259,3.91,,59.9,4,12.5,8.2,1.3,26.5,35,49.5,88,0,11.1,1.33,163.7,2.41,1.27,,,,
"AERSU","REG",1992,9,15,2450,259,3.98,,46.4,8,4.5,1.6,0.8,2.2,7,42.2,67,0,7.8,1.11,87.6,1.29,2.54,,,,
"AERCA","REG",1992,9,22,2457,266,4.62,-22.9,12.4,7,2,0.8,0.3,2.6,4,7.2,22,0,5,0.26,545.7,8.04,7.62,,,,
"AEREA","REG",1992,9,22,2457,266,4.57,-27.1,14,6,2.5,1.6,0,3,5,8,25,0,6.1,0.37,457.4,6.74,6.35,,,,
"AERSU","REG",1992,9,22,2457,266,4.79,-15.3,8.3,5,1,0.8,0,1.3,3,4.8,14,0,2.2,0.15,526.9,7.76,6.096,,,,
"AERCA","REG",1992,9,29,2464,273,4.73,-15,8.2,5,2,0.8,0.3,4.4,6,6,12,0.36,2.2,0.3,1127,16.6,15.24,,,,
"AEREA","REG",1992,9,29,2464,273,4.8,-14.6,8.3,3,2,0.8,0.3,5.7,7,5.6,11,0,1.7,0.37,1320.6,19.45,13.97,,,,
"AERSU","REG",1992,9,29,2464,273,4.79,-14.8,7.9,3,1,0,0.3,2.6,4,5.8,11,0,1.1,0.26,969,14.27,14.732,,,,
"AERCA","REG",1992,10,6,2471,280,4.35,-45.3,24.8,10,22,4.9,1,3.5,7,32.3,50,0,18.8,1.41,216.8,3.19,4.064,,,,
"AEREA","REG",1992,10,6,2471,280,4.33,-47.5,27.5,10,21.5,4.9,1.3,3.5,8,35.3,54,0,21.6,0.85,232,3.42,3.81,,,,
"AERSU","REG",1992,10,6,2471,280,4.37,-42.8,25,12,20,4.1,0.5,3.5,7,29.9,47,0,19.4,1.41,196.3,2.89,3.302,,,,
"AERCA","REG",1992,10,13,2478,287,5.02,-11.4,8.5,17,7,3.3,6.9,13.9,14,5.9,15,0.36,0.6,0.22,3102.8,45.7,46.99,,,,
"AEREA","REG",1992,10,13,2478,287,4.7,-25.1,11.6,3,3,1.6,0.8,9.1,10,9.5,16,0,2.2,0.37,3282.4,48.35,46.99,,,,
"AERSU","REG",1992,10,13,2478,287,4.75,-22.6,9.6,3,2.5,0.8,0.8,3.9,5,8.2,13,0,1.7,0.19,1846,27.19,40.386,,,,
"AERCA","REG",1992,10,20,2485,294,4.1,-102.7,46.8,8,5,4.9,1.8,16.1,16,51.8,68,0.36,22.7,0.44,306.7,4.52,3.81,,,,
"AEREA","REG",1992,10,20,2485,294,4.11,-100.6,45.2,10,4.5,4.9,1.3,17.4,18,51.3,66,0,19.9,0.44,315.9,4.65,5.08,,,,
"AERCA","REG",1992,10,27,2492,301,4.28,-62.6,29.6,7,1.5,1.6,0.5,1.7,9,18.8,50,0,8.9,0.11,4711.7,69.4,68.58,,,,
"AEREA","REG",1992,10,27,2492,301,4.27,-63.6,30.6,7,1.5,1.6,0.5,1.3,8,19.7,52,0,13.9,0.07,4694.8,69.15,67.31,,,,
"AERSU","REG",1992,10,27,2492,301,4.29,-62.2,29,7,1.5,0.8,0.5,1.3,8,17.9,49,0,13.3,0.04,4757.6,70.08,74.422,,,,
"AERCA","REG",1992,11,3,2499,308,4.33,-56.4,26.9,13,6.5,2.5,0.8,4.8,11,44.4,21,0,11.6,0.3,426,6.27,6.35,,,,
"AEREA","REG",1992,11,3,2499,308,4.27,-63.2,29.1,9,5.5,1.6,0.8,3.9,8,51.3,22,0,12.2,0.3,320.3,4.72,5.588,,,,
"AERSU","REG",1992,11,3,2499,308,4.28,-59.6,28,9,5.5,1.6,0.8,3,9,48.7,20,0,11.6,0.3,327.7,4.83,4.064,,,,
"AERCA","REG",1992,11,10,2506,315,4.28,-62.6,26.9,4,1.5,0.8,0.5,1.7,3,26.5,34,0,8.3,0.26,1188.7,17.51,20.828,,,,
"AEREA","REG",1992,11,10,2506,315,4.3,-58.3,25.6,3,2,0.8,0.3,2.2,5,24.2,33,0,5.5,0.26,1272.7,18.75,20.828,,,,
"AERSU","REG",1992,11,10,2506,315,4.25,-64.9,28.7,5,1,0.8,0.3,0.9,4,28.1,36,0,7.2,0.22,914,13.46,15.748,,,,
"AERCA","REG",1992,11,18,2514,323,4.54,-34.7,18.2,5,3.5,4.1,0.8,13.9,16,19.8,22,0,5.5,0.15,2039.9,30.05,30.48,,,,
"AEREA","REG",1992,11,18,2514,323,4.48,-38.7,19.5,3,3,4.1,0.8,16.1,18,21.5,23,0,6.1,0.15,1913.8,28.19,34.29,,,,
"AERSU","REG",1992,11,18,2514,323,4.43,-43.4,21.6,6,4.5,4.1,0.8,13.1,19,31.7,14,0,2.2,0.37,219.1,3.23,21.59,,,,
"AERCA","REG",1992,11,24,2520,329,4.51,-37.2,17.2,9,3,1.6,1.5,5.2,8,13.9,24,0,2.8,0.48,865.8,12.75,16.002,,,,
"AEREA","REG",1992,11,24,2520,329,4.49,-37.4,17.4,3,3.5,2.5,0.5,6.5,9,14.2,25,0,2.2,0.44,928.7,13.68,15.24,,,,
"AERSU","REG",1992,11,24,2520,329,4.58,,13.8,,3.5,1.6,0.8,3.5,7,11.3,20,,,0.56,180.8,2.66,11.176,,,,
"AERCA","REG",1992,12,1,2527,336,4.76,-21.5,10.1,3,1.5,0.8,0.3,3.5,7,13.5,12,0,2.8,0.11,648.5,9.55,11.684,,,,
"AEREA","REG",1992,12,1,2527,336,4.76,-20.7,10,2,1.5,0.8,0.3,4.4,6,9.2,11,0,1.1,0,708.1,10.43,11.938,,,,
"AERCA","REG",1992,12,8,2534,343,4.46,-43,19.9,13,2,0.8,0.8,5.2,8,23.7,23,0,3.9,0.22,550.9,8.11,16.764,,,,
"AEREA","REG",1992,12,8,2534,343,4.46,-42.2,19.9,3,3,1.6,0.8,5.2,8,25.2,22,0,3.3,0.26,457.6,6.74,14.478,,,,
"AEREA","REG",1992,12,22,2548,357,4.64,-27,12,2,1,0.8,0.3,3.9,7,10.3,18,1.42,0,0.15,2113.6,31.13,32.004,,,,
"AERSU","REG",1992,12,22,2548,357,4.68,-23.4,10.7,1,2,0,0.3,1.3,4,10,14,0.36,1.1,0.11,1204.3,17.74,25.654,,,,
"AEREA","REG",1993,1,5,2562,5,4.53,-35.3,16.3,2,3,3.3,0.5,12.2,16,13.9,23,0,3.9,0.11,3294,48.52,,,,,
"AERSU","REG",1993,1,5,2562,5,4.4,-47.8,21.3,4,2.5,3.3,1.3,13.1,17,18.4,32,,,,,,,,,,
"AERCA","REG",1993,1,19,2576,19,4.98,-13.1,6.1,7,2.5,0,0.5,2.2,6,7.3,5,0,0,0.11,333.1,4.91,7.62,,,,
"AEREA","REG",1993,1,19,2576,19,4.54,-34.5,14.6,3,1.5,0.8,0.3,3,7,24.3,9,0,0,0.11,410,6.04,7.62,,,,
"AEREA","REG",1993,1,26,2583,26,4.93,-13.7,8.1,1,1,1.6,0.5,8.3,12,3.9,11,0,2.8,0.19,2312.6,34.06,33.528,,,,
"AEREA","REG",1993,2,3,2591,34,4.14,-86.9,38.9,,6.5,4.1,1.3,16.1,31,63.2,18,,,0.41,217,3.2,13.97,,,,
"AEREA","REG",1993,2,9,2597,40,,,,,28.9,4.1,1,23.9,46,71.3,37,0,10.5,0.41,100.6,1.48,2.54,,,,
"AEREA","REG",1993,2,16,2604,47,5.02,-11.6,6.4,2,1,0.8,0.5,4.8,8,4.6,8,0,2.2,0.07,1285,18.93,26.162,,,,
