"year","month","H2O_mm","H_eq_ha","Ca_eq_ha","Mg_eq_ha","K_eq_ha","Na_eq_ha","Cl_eq_ha","NO3_eq_ha","NH4_eq_ha","SO4_eq_ha"
2011,10,119,5.4,0.9,0,1.9,6.5,6.8,4.6,0,5.8
2011,11,93.9,5.5,0,0,0,5.2,6.7,3.3,0,4.8
2011,12,109,6.5,0,0,0,3.9,4.4,5.1,0,3.8
2012,1,74.8,4.4,1.9,3.7,0,15.9,19.4,5,5.5,7.5
2012,2,101,12.9,4.5,0,0,9.1,10,15.5,11.1,13.9
2012,3,28.5,1.5,1.7,0,0,4.2,4.6,2.7,0,2.2
2012,4,115,7.8,3.9,0,0,13.2,13.5,5.7,0,8.9
2012,5,104,9.9,2.2,1,0.6,5.9,6.7,9.6,5.5,9.5
2012,6,114,7.6,6.5,0,0.9,5.9,4.7,13.6,16.6,16.5
2012,7,79,8.3,0,0,0,2.7,2.9,7,5.5,7
2012,8,219,20.5,1,0,0,0.4,4.9,17.6,16.6,22.4
2012,9,111,8.7,1.1,2.2,1.6,11.1,12.9,5.4,0,8
2012,10,231,7.9,3.4,5.8,7.7,27.3,30.6,9.8,0,14.4
2012,11,113,5.8,2.3,8.8,1,46,52.6,3.8,0,9.1
2012,12,,,,,,,,,,
2013,1,,,,,,,,,,
2013,2,24,4.7,1.1,1.3,0.1,5.8,6.1,5.3,4.7,0.1
2013,3,45,2.1,1.1,2.2,0,10.5,12.3,1.3,2.7,0
2013,4,104,10.9,5,0,0,15.7,17,11.8,13.4,0.2
2013,5,72,4.3,0,0,0,4,4.3,5.2,7.1,0.1
2013,7,227,21.1,0,0,0,5.9,6.8,13.8,15.9,0
2013,8,253,17.9,0,0,0,0,5.1,13.1,12.2,0
2013,9,249,25.2,0,0,0,0,4.3,14.2,25.5,0.3
2013,10,39,4.6,0.6,1.3,0.2,9.6,,,,0
2013,11,80,10.5,2,4.3,0.7,20.2,1.6,0.9,0,0.1
