"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"WB3","WB","4","ISCO",1997,1,17,16,"WINTER",17.67,4035.67,94,91,"",34,18,"",6.4,5,81,11,"",2.4,"<DL",1.4,,"320","","","",,82,162,154,"",28.6,"",1.4,"",,-5.4,32.1,3.624,7.08,,,5.15,,"","<RL",3,"",,"",,""
"EB8","EB","S","REG",1997,1,21,12,"WINTER",21.5,4039.5,67,64,"",22,7,"",3.8,2,80,12,"",1.9,"<DL",1.4,,"140","","63","<RL",0.06,79,99,91,"",2.4,"",1.5,"",1.4,4.2,23.9,1.359,2.04,10.2,5.34,5.69,,"","<RL",1,"",,"<DL",0,""
"EB8","EB","S","REP",1997,1,21,12,"WINTER",21.5,4039.5,67,64,"",22,7,"",3.6,2,80,11,"",1.9,"<DL",1.4,,"140","","64","<RL",0.05,80,97,89,"",2.5,"",1.5,"",1.4,3.4,23.8,1.359,1.91,,,5.72,,"5.35","<RL",1,"",,"",,""
"WB3","WB","S","DUP",1997,1,21,12,"WINTER",21.5,4039.5,99,96,"",35,18,"",6.4,5,84,10,"",2.5,"<DL",1.4,,"400","","96","",0.43,86,164,155,"",28,"",1.4,"",1.2,-4.2,36.6,1.274,8.32,4.55,5.03,5.08,,"","<RL",2,"",,"<DL",0,""
"WB3","WB","S","REG",1997,1,21,12,"WINTER",21.5,4039.5,98,95,"",35,18,"",6.1,5,83,9,"",2.5,"<DL",1.4,,"400","","95","",0.43,86,165,156,"",28,"",1.4,"",1.2,-4.7,36.4,1.274,8.32,4.45,5.02,5.08,,"","<RL",2,"",,"<DL",0,""
"WB3","WB","4","ISCO",1997,1,24,16,"WINTER",24.67,4042.67,115,112,"",41,24,"",6.6,5,85,11,"",2.6,"<DL",1.4,,"260","","","",,86,159,150,"",29.3,"",1.2,"",,-8.1,36.6,1.274,8.51,,,5.07,,"","<RL",1,"",,"",,""
"WB3","WB","6","ISCO",1997,1,25,14,"WINTER",25.58,4043.58,99,96,"",35,20,"",10.2,9,73,5,"",1.6,"<DL",1.4,,"490","","","",,78,154,146,"",29,"",1.8,"",,-10,36,21.77,11.5,,,4.94,,"","",9,"",,"",,""
"WB3","WB","9","ISCO",1997,1,25,20,"WINTER",25.83,4043.83,99,96,"",34,19,"",9.7,8,75,8,"",1.6,"<DL",1.4,,"850","","","",,78,190,182,"",37.6,"",1.8,"",,-13,42,21.77,15.8,,,4.8,,"","<RL",5,"",,"",,""
"WB3","WB","12","ISCO",1997,1,26,2,"WINTER",26.08,4044.08,103,100,"",35,19,"",8.2,7,76,9,"",1.7,"<DL",1.4,,"940","","","",,78,196,188,"",39.8,"",1.7,"",,-12,42.2,17.297,14.5,,,4.84,,"","<RL",2,"",,"",,""
"WB3","WB","S","REG",1997,1,28,14,"WINTER",28.58,4046.58,109,106,"",35,20,"",7.9,6,77,9,"",2,"<DL",1.4,,"490","","100","",0.49,79,169,161,"",32.9,"",1.5,"",0.8,-8.4,36.2,3.794,10.5,2.58,4.95,4.98,,"","<RL",2,"",,"",4.9,""
"WB3","WB","S","REP",1997,1,28,14,"WINTER",28.58,4046.58,109,106,"",35,20,"",7.9,6,77,9,"",2,"<DL",1.4,,"490","","103","",0.49,79,168,160,"",33,"",1.5,"",0.8,-8.7,36.1,3.794,10.2,,,4.99,,"4.98","<RL",2,"",,"",,""
"EB8","EB","S","DUP",1997,1,28,15,"WINTER",28.6,4046.6,69,66,"",24,9,"",5.1,4,74,9,"",1.6,"<DL",1.4,,"160","","63","<RL",0.09,75,91,83,"",4.5,"",1.7,"",1.2,3.5,22.7,3.878,1.86,9.73,5.38,5.73,,"","<RL",2,"",,"",4.7,""
"EB8","EB","S","REG",1997,1,28,15,"WINTER",28.6,4046.6,67,64,"",24,9,"",4.9,3,73,8,"",1.6,"<DL",1.4,,"160","","62","<RL",0.08,75,91,83,"",4.5,"",1.6,"",1.2,3.6,22.7,3.878,1.86,9.85,5.39,5.73,,"","<RL",2,"",,"",5,""
"WB3","WB","4","ISCO",1997,1,31,16,"WINTER",31.67,4049.67,114,111,"",39,22,"",6.6,5,83,10,"",2.3,"<DL",1.4,,"520","","","",,85,172,163,"",33,"",1.3,"",,-9.5,38.6,1.699,11.7,,,4.93,,"","",6,"",,"",,""
"WB3","WB","6","ISCO",1997,2,2,16,"WINTER",33.67,4051.67,113,110,"",39,22,"",6.6,5,82,10,"",2.3,"<DL",1.4,,"420","","","",,85,165,156,"",30.3,"",1.3,"",,-7,37.3,1.699,10,,,5,,"","",6,"",,"",,""
