site,watershed,ISCO_number,record_type,year,month,day,hour,season,julian_day,running_day_of_project,Ca_ueq_L,nmCa_ueq_L,Mg_flag,Mg_ueq_L,nmMg_ueq_L,K_flag,K_ueq_L,nmK_ueq_L,Na_ueq_L,nmNa_ueq_L,Si_flag,Si_mg_L,NH4_flag,NH4_ueq_L,Al_flag,Al_ppb,Al_org_flag,Al_org_ppb,total_N_flag,total_N_ppm,Cl_ueq_L,SO4_ueq_L,nmSO4_ueq_L,NO3_flag,NO3_ueq_L,DOC_flag,DOC_mg_L,DIC_flag,DIC_mg_L,ANC_ueq_L,sp_conductance_us_cm,discharge_L_sec,H_ueq_L,HCO3_ueq_L,pH_closed_cell,pH_air_eqll,pH_initial,pH_uneqll,apparent_color_flag,apparent_color_PCU,true_color_flag,true_color_PCU,total_P_flag,total_P_ppb,Comment
EB3,EB,,REG,1987,4,30,12,SPRING,120.50,485.50,81,78,,28,15,,5.9,5.0,81,23,,1.7,<DL,1.40,,103,,61,,,68,100,93,,2.8,,1.5,,,10.8,24.2,,1.07,,5.69,5.97,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,4,30,12,SPRING,120.50,485.50,86,84,,33,19,,7.7,6.0,85,21,,2.2,<DL,1.40,,52,,43,,,74,98,90,,7.2,,1.2,,,15.4,25.2,,0.68,,5.81,6.17,,,<RL,5,<RL,4,,,
EB3,EB,,REG,1987,5,5,10,SPRING,125.40,490.42,83,81,,29,15,,6.1,5.0,87,27,,1.6,<DL,1.40,,100,,72,,,69,103,96,,3.2,,1.3,,,10.7,24.3,,0.87,,5.71,6.06,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,5,5,11,SPRING,125.50,490.46,86,83,,33,18,,7.9,7.0,84,20,,2.3,<DL,1.40,,62,,48,,,75,101,93,,6.9,,1.1,,,15.0,23.2,,0.66,,5.93,6.18,,,<RL,1,<RL,0,,,
EB3,EB,,REG,1987,5,7,11,SPRING,127.50,492.46,74,72,,26,14,,5.6,4.0,77,22,,1.6,<DL,1.40,,153,,76,,,63,100,93,,4.3,,1.6,,,8.3,24.1,,1.95,,5.60,5.71,,,<RL,2,<RL,3,,,
WB3,WB,,REG,1987,5,7,11,SPRING,127.50,492.46,85,83,,33,19,,8.2,7.0,82,20,,1.9,<DL,1.40,,98,,66,,,72,107,100,,8.9,,1.4,,,10.4,26.1,,0.95,,5.82,6.02,,,<RL,1,<RL,2,,,
EB3,EB,,REG,1987,5,12,10,SPRING,132.40,497.42,85,82,,27,14,,6.9,6.0,83,23,,1.8,<DL,1.40,,109,,,,,70,105,98,,2.5,,1.3,,,11.4,22.9,,0.89,,5.87,6.05,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,5,12,11,SPRING,132.50,497.46,86,84,,33,19,,8.7,7.0,87,23,,2.4,<DL,1.40,,66,,,,,74,103,95,,6.1,,1.1,,,19.0,24.7,,0.50,,5.90,6.30,,,<RL,1,<RL,1,,,
EB3,EB,,REG,1987,5,19,12,SPRING,139.50,504.50,88,86,,30,15,,7.4,6.0,86,23,,1.9,<RL,3.88,,90,,54,,,74,107,99,,1.6,,1.3,,,15.7,23.1,,0.51,,5.87,6.29,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,5,19,12,SPRING,139.50,504.50,85,82,,34,19,,8.9,8.0,90,24,,2.6,<DL,1.40,,62,,48,,,77,103,95,,4.9,,1.5,,,17.4,24.7,,0.60,,5.96,6.22,,,<RL,2,<RL,1,,,
EB3,EB,,REG,1987,5,26,11,SPRING,146.50,511.46,89,86,,30,16,,6.1,5.0,87,24,,2.0,<DL,1.40,,78,,48,,,74,105,97,<RL,0.8,,1.2,,,21.8,27.5,,0.39,,6.04,6.41,,,<RL,1,<RL,2,,,
WB3,WB,,REG,1987,5,26,11,SPRING,146.50,511.46,85,82,,34,19,,8.4,7.0,91,26,,2.7,<DL,1.40,,53,,53,,,76,101,93,,3.6,,1.2,,,22.7,28.0,,0.43,,5.90,6.37,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,6,2,10,SUMMER,153.40,518.42,89,86,,35,19,,11.0,9.0,98,28,,2.8,<DL,1.40,,58,,58,,,81,104,96,,2.9,,1.2,,,24.7,28.4,,0.29,,5.95,6.54,,,<RL,2,<RL,0,,,
EB3,EB,,REG,1987,6,2,11,SUMMER,153.50,518.46,88,85,,30,15,,5.4,4.0,88,25,,2.1,<DL,1.40,,83,,55,,,73,109,101,<RL,0.4,,1.3,,,16.5,27.2,,0.38,,5.96,6.42,,,<RL,1,<RL,0,,,
EB3,EB,,REG,1987,6,9,9,SUMMER,160.40,525.38,81,78,,27,15,,3.8,3.0,85,29,,2.0,<DL,1.40,,102,,53,,,65,106,99,,1.0,,1.3,,,9.4,24.7,,1.10,,5.87,5.96,,,<RL,2,<RL,1,,,
